first_name,last_name,phone,staff_id,qualification,class_name,email
Francisca,Dornyo,0244100101,STAFF-T-001,,creche,
Antoinette,Wewey,0244100102,STAFF-T-002,,Nursery 1,
Ann,Ayew,0244100103,STAFF-T-003,,Nursery 2,
Jennifer,Rockson,0244100104,STAFF-T-004,,KG 1,
Constance Hilda,Williams,0244100105,STAFF-T-005,,KG 2,
Abigail Naa Yemoley,Mensah,0244100106,STAFF-T-006,,Year 1,
Rita Adom,Koomson,0244100107,STAFF-T-007,,Year 2,
Ebenezer,Essel,0244100108,STAFF-T-008,,Year 3,
Hans,Buatsi,0244100109,STAFF-T-009,,Year 4,
Emmanuel Wesley,Amoah,0244100110,STAFF-T-010,,Year 5,
Irene Korkor,Daitey,0244100111,STAFF-T-011,,Year 6,
Philip Yaw,Soh,0244100112,STAFF-T-012,,Year 7,
Johnson,Amu,0244100113,STAFF-T-013,,Year 8,
